,date,symbol,rate
153,2022-01-01,VND,25989.458662
154,2022-01-01,VUV,128.784736
155,2022-01-01,WST,2.956773
156,2022-01-01,XAF,659.089986
157,2022-01-01,XAG,0.048844
158,2022-01-01,XAU,0.000622
159,2022-01-01,XCD,3.073193
160,2022-01-01,XDR,0.812663
161,2022-01-01,XOF,658.979869
162,2022-01-01,XPF,120.367257
163,2022-01-01,YER,284.571056
164,2022-01-01,ZAR,18.138658
165,2022-01-01,ZMK,10235.677475
166,2022-01-01,ZMW,18.94874
167,2022-01-01,ZWL,366.160363
168,2022-01-02,AED,4.177235
169,2022-01-02,AFN,117.993578
170,2022-01-02,ALL,121.292102
171,2022-01-02,AMD,546.164583
172,2022-01-02,ANG,2.050064
173,2022-01-02,AOA,626.17972
174,2022-01-02,ARS,116.759289
175,2022-01-02,AUD,1.565111
176,2022-01-02,AWG,2.047118
177,2022-01-02,AZN,1.93185
178,2022-01-02,BAM,1.965383
179,2022-01-02,BBD,2.296763
180,2022-01-02,BDT,97.508129
181,2022-01-02,BGN,1.954212
182,2022-01-02,BHD,0.428708
183,2022-01-02,BIF,2278.555872
184,2022-01-02,BMD,1.137288
185,2022-01-02,BND,1.53549
186,2022-01-02,BOB,7.843395
187,2022-01-02,BRL,6.33617
188,2022-01-02,BSD,1.137529
189,2022-01-02,BTC,2.4020842e-05
190,2022-01-02,BTN,84.581705
191,2022-01-02,BWP,13.374707
192,2022-01-02,BYN,2.908637
193,2022-01-02,BYR,22290.838579
194,2022-01-02,BZD,2.292945
195,2022-01-02,CAD,1.439391
196,2022-01-02,CDF,2277.400117
197,2022-01-02,CHF,1.037297
198,2022-01-02,CLF,0.035116
199,2022-01-02,CLP,968.968953
200,2022-01-02,CNY,7.228491
201,2022-01-02,COP,4623.449735
202,2022-01-02,CRC,730.239261
203,2022-01-02,CUC,1.137288
204,2022-01-02,CUP,30.138124
205,2022-01-02,CVE,110.601045
206,2022-01-02,CZK,24.885904
207,2022-01-02,DJF,202.119353
208,2022-01-02,DKK,7.436895
209,2022-01-02,DOP,65.25189
210,2022-01-02,DZD,157.861932
211,2022-01-02,EGP,17.862121
212,2022-01-02,ERN,17.059404
213,2022-01-02,ETB,55.897873
214,2022-01-02,EUR,1.0
215,2022-01-02,FJD,2.41617
216,2022-01-02,FKP,0.857946
217,2022-01-02,GBP,0.841081
218,2022-01-02,GEL,3.519889
219,2022-01-02,GGP,0.857946
220,2022-01-02,GHS,6.994436
221,2022-01-02,GIP,0.857946
222,2022-01-02,GMD,59.99262
223,2022-01-02,GNF,10605.207325
224,2022-01-02,GTQ,8.778768
225,2022-01-02,GYD,237.876175
226,2022-01-02,HKD,8.866465
227,2022-01-02,HNL,27.748879
228,2022-01-02,HRK,7.517105
229,2022-01-02,HTG,114.06038
230,2022-01-02,HUF,369.254583
231,2022-01-02,IDR,16197.251176
232,2022-01-02,ILS,3.537522
233,2022-01-02,IMP,0.857946
234,2022-01-02,INR,84.743911
235,2022-01-02,IQD,1660.440017
236,2022-01-02,IRR,48078.836933
237,2022-01-02,ISK,147.608988
238,2022-01-02,JEP,0.857946
239,2022-01-02,JMD,175.138243
240,2022-01-02,JOD,0.806564
241,2022-01-02,JPY,130.947869
242,2022-01-02,KES,128.684308
243,2022-01-02,KGS,96.444304
244,2022-01-02,KHR,4628.760578
245,2022-01-02,KMF,494.577966
246,2022-01-02,KPW,1023.558826
247,2022-01-02,KRW,1352.098782
248,2022-01-02,KWD,0.344053
249,2022-01-02,KYD,0.947907
250,2022-01-02,KZT,494.825052
251,2022-01-02,LAK,12720.562839
252,2022-01-02,LBP,1720.716355
253,2022-01-02,LKR,230.780274
254,2022-01-02,LRD,165.048879
255,2022-01-02,LSL,18.139689
256,2022-01-02,LTL,3.358115
257,2022-01-02,LVL,0.687934
258,2022-01-02,LYD,5.234601
259,2022-01-02,MAD,10.554221
260,2022-01-02,MDL,20.242688
261,2022-01-02,MGA,4509.34627
262,2022-01-02,MKD,61.930164
263,2022-01-02,MMK,2022.562331
264,2022-01-02,MNT,3250.805658
265,2022-01-02,MOP,9.137232
266,2022-01-02,MRO,406.011507
267,2022-01-02,MUR,49.582542
268,2022-01-02,MVR,17.516469
269,2022-01-02,MWK,925.752017
270,2022-01-02,MXN,23.30371
271,2022-01-02,MYR,4.749879
272,2022-01-02,MZN,72.59258
273,2022-01-02,NAD,18.139948
274,2022-01-02,NGN,468.506039
275,2022-01-02,NIO,40.257419
276,2022-01-02,NOK,10.004032
277,2022-01-02,NPR,135.33033
278,2022-01-02,NZD,1.662743
279,2022-01-02,OMR,0.437851
280,2022-01-02,PAB,1.137529
281,2022-01-02,PEN,4.537212
282,2022-01-02,PGK,4.008894
283,2022-01-02,PHP,58.001869
284,2022-01-02,PKR,202.721162
285,2022-01-02,PLN,4.590381
286,2022-01-02,PYG,7826.276531
287,2022-01-02,QAR,4.14086
288,2022-01-02,RON,4.948805
289,2022-01-02,RSD,117.578742
290,2022-01-02,RUB,85.313656
291,2022-01-02,RWF,1154.346998
292,2022-01-02,SAR,4.271085
293,2022-01-02,SBD,9.205118
294,2022-01-02,SCR,15.474914
295,2022-01-02,SDG,497.562015
296,2022-01-02,SEK,10.288325
297,2022-01-02,SGD,1.53353
298,2022-01-02,SHP,1.566503
299,2022-01-02,SLL,12800.172624
300,2022-01-02,SOS,664.175979
301,2022-01-02,SRD,23.664696
302,2022-01-02,STD,23539.558855
303,2022-01-02,SVC,9.953377
304,2022-01-02,SYP,2857.427095
305,2022-01-02,SZL,18.140201
306,2022-01-02,THB,37.81494
307,2022-01-02,TJS,12.853373
308,2022-01-02,TMT,3.99188
309,2022-01-02,TND,3.270605
310,2022-01-02,TOP,2.586872
311,2022-01-02,TRY,15.299914
312,2022-01-02,TTD,7.726454
313,2022-01-02,TWD,31.522318
314,2022-01-02,TZS,2622.585703
315,2022-01-02,UAH,31.03434
316,2022-01-02,UGX,4032.499595
317,2022-01-02,USD,1.137288
318,2022-01-02,UYU,50.752463
319,2022-01-02,UZS,12305.452199
320,2022-01-02,VEF,243186478033.9399
321,2022-01-02,VND,25992.709986
322,2022-01-02,VUV,128.800847
323,2022-01-02,WST,2.957142
324,2022-01-02,XAF,659.172439
325,2022-01-02,XAG,0.048827
326,2022-01-02,XAU,0.000622
327,2022-01-02,XCD,3.073577
328,2022-01-02,XDR,0.812765
329,2022-01-02,XOF,659.057648
330,2022-01-02,XPF,120.382047
331,2022-01-02,YER,284.605769
332,2022-01-02,ZAR,18.156679
333,2022-01-02,ZMK,10236.956907
334,2022-01-02,ZMW,18.95111
335,2022-01-02,ZWL,366.20617
