,date,symbol,rate
0,2022-03-03,AED,4.064516
1,2022-03-03,AFN,101.055317
2,2022-03-03,ALL,122.783756
3,2022-03-03,AMD,551.816924
4,2022-03-03,ANG,1.998007
5,2022-03-03,AOA,546.909202
6,2022-03-03,ARS,119.561279
7,2022-03-03,AUD,1.508608
8,2022-03-03,AWG,1.992091
9,2022-03-03,AZN,1.878952
10,2022-03-03,BAM,1.95581
11,2022-03-03,BBD,2.238437
12,2022-03-03,BDT,95.371535
13,2022-03-03,BGN,1.957411
14,2022-03-03,BHD,0.417081
15,2022-03-03,BIF,2216.697284
16,2022-03-03,BMD,1.106564
17,2022-03-03,BND,1.50543
18,2022-03-03,BOB,7.621781
19,2022-03-03,BRL,5.568669
20,2022-03-03,BSD,1.108669
21,2022-03-03,BTC,2.60682e-05
22,2022-03-03,BTN,84.250438
23,2022-03-03,BWP,12.876145
24,2022-03-03,BYN,3.428365
25,2022-03-03,BYR,21688.649005
26,2022-03-03,BZD,2.234737
27,2022-03-03,CAD,1.40221
28,2022-03-03,CDF,2229.726177
29,2022-03-03,CHF,1.015937
30,2022-03-03,CLF,0.031927
31,2022-03-03,CLP,880.968673
32,2022-03-03,CNY,6.993706
33,2022-03-03,COP,4160.070995
34,2022-03-03,CRC,711.927011
35,2022-03-03,CUC,1.106564
36,2022-03-03,CUP,29.323939
37,2022-03-03,CVE,110.260389
38,2022-03-03,CZK,25.776071
39,2022-03-03,DJF,197.364422
40,2022-03-03,DKK,7.438878
41,2022-03-03,DOP,60.50929
42,2022-03-03,DZD,157.231714
43,2022-03-03,EGP,17.407022
44,2022-03-03,ERN,16.598477
45,2022-03-03,ETB,56.842066
46,2022-03-03,EUR,1.0
47,2022-03-03,FJD,2.342485
48,2022-03-03,FKP,0.80549
49,2022-03-03,GBP,0.828882
50,2022-03-03,GEL,3.546523
51,2022-03-03,GGP,0.80549
52,2022-03-03,GHS,7.621781
53,2022-03-03,GIP,0.805489
54,2022-03-03,GMD,58.981885
55,2022-03-03,GNF,9948.239025
56,2022-03-03,GTQ,8.547543
57,2022-03-03,GYD,232.010298
58,2022-03-03,HKD,8.648736
59,2022-03-03,HNL,27.298735
60,2022-03-03,HRK,7.560931
61,2022-03-03,HTG,116.002625
62,2022-03-03,HUF,380.447866
63,2022-03-03,IDR,15889.591149
64,2022-03-03,ILS,3.589483
65,2022-03-03,IMP,0.80549
66,2022-03-03,INR,83.979279
67,2022-03-03,IQD,1618.077711
68,2022-03-03,IRR,46807.645538
69,2022-03-03,ISK,143.399138
70,2022-03-03,JEP,0.80549
71,2022-03-03,JMD,171.986031
72,2022-03-03,JOD,0.784526
73,2022-03-03,JPY,127.784902
74,2022-03-03,KES,126.325021
75,2022-03-03,KGS,106.964434
76,2022-03-03,KHR,4506.591176
77,2022-03-03,KMF,492.365801
78,2022-03-03,KPW,995.907526
79,2022-03-03,KRW,1335.61161
80,2022-03-03,KWD,0.335514
81,2022-03-03,KYD,0.923891
82,2022-03-03,KZT,552.024375
83,2022-03-03,LAK,12713.070461
84,2022-03-03,LBP,1676.290494
85,2022-03-03,LKR,224.504412
86,2022-03-03,LRD,170.74324
87,2022-03-03,LSL,16.808332
88,2022-03-03,LTL,3.267395
89,2022-03-03,LVL,0.669349
90,2022-03-03,LYD,5.124432
91,2022-03-03,MAD,10.665354
92,2022-03-03,MDL,20.371692
93,2022-03-03,MGA,4421.145043
94,2022-03-03,MKD,61.613815
95,2022-03-03,MMK,1971.326076
96,2022-03-03,MNT,3163.478861
97,2022-03-03,MOP,8.922846
98,2022-03-03,MRO,395.043059
99,2022-03-03,MUR,49.009651
100,2022-03-03,MVR,17.096173
101,2022-03-03,MWK,890.961818
102,2022-03-03,MXN,22.843066
103,2022-03-03,MYR,4.632627
104,2022-03-03,MZN,70.631696
105,2022-03-03,NAD,16.891733
106,2022-03-03,NGN,461.204941
107,2022-03-03,NIO,39.639163
108,2022-03-03,NOK,9.86257
109,2022-03-03,NPR,134.798754
110,2022-03-03,NZD,1.625155
111,2022-03-03,OMR,0.42591
112,2022-03-03,PAB,1.108654
113,2022-03-03,PEN,4.15702
114,2022-03-03,PGK,3.926418
115,2022-03-03,PHP,57.131889
116,2022-03-03,PKR,197.749843
117,2022-03-03,PLN,4.813915
118,2022-03-03,PYG,7719.542297
119,2022-03-03,QAR,4.028969
120,2022-03-03,RON,4.948444
121,2022-03-03,RSD,117.650221
122,2022-03-03,RUB,121.168047
123,2022-03-03,RWF,1124.202987
124,2022-03-03,SAR,4.151809
125,2022-03-03,SBD,8.923953
126,2022-03-03,SCR,15.937262
127,2022-03-03,SDG,494.081928
128,2022-03-03,SEK,10.782224
129,2022-03-03,SGD,1.501392
130,2022-03-03,SHP,1.524181
131,2022-03-03,SLL,12891.467505
132,2022-03-03,SOS,648.446651
133,2022-03-03,SRD,22.590467
134,2022-03-03,STD,22903.634959
135,2022-03-03,SVC,9.700901
136,2022-03-03,SYP,2779.687828
137,2022-03-03,SZL,16.937515
138,2022-03-03,THB,36.045758
139,2022-03-03,TJS,12.511273
140,2022-03-03,TMT,3.872973
141,2022-03-03,TND,3.238361
142,2022-03-03,TOP,2.518151
143,2022-03-03,TRY,15.623018
144,2022-03-03,TTD,7.523623
145,2022-03-03,TWD,31.056264
146,2022-03-03,TZS,2566.449908
147,2022-03-03,UAH,33.314006
148,2022-03-03,UGX,3948.93486
149,2022-03-03,USD,1.106564
150,2022-03-03,UYU,47.172027
151,2022-03-03,UZS,12084.334647
152,2022-03-03,VEF,236616767295.43134
153,2022-03-03,VND,25271.149064
154,2022-03-03,VUV,125.784663
155,2022-03-03,WST,2.890724
156,2022-03-03,XAF,655.92957
157,2022-03-03,XAG,0.04914
158,2022-03-03,XAU,0.000612
159,2022-03-03,XCD,2.990544
160,2022-03-03,XDR,0.797159
161,2022-03-03,XOF,655.938461
162,2022-03-03,XPF,119.91572
163,2022-03-03,YER,276.917253
164,2022-03-03,ZAR,16.823343
165,2022-03-03,ZMK,9960.395838
166,2022-03-03,ZMW,19.900138
167,2022-03-03,ZWL,356.313068
